band,n,impaired,pct_impaired,wilson_ci_lo,wilson_ci_hi
FBI < 9,203,11,5.41871921182266,3.0523366321528402,9.441028560700234
FBI 9-11,36,12,33.33333333333333,20.21461882430531,49.66600212884348
FBI 9-14 (grey zone),61,18,29.508196721311474,19.555018758276056,41.88940205722037
FBI 12-14,25,6,24.0,11.496313693401444,43.42968335542908
FBI >= 15,81,56,69.1358024691358,58.40194691734772,78.13679302289316
