subscale,anchor,n,prevalence,auc,auc_lo,auc_hi,optimal_cutoff,cutoff_lo,cutoff_hi,sensitivity,specificity,kappa
FBI Apathy,Consensus ≥2/3,345,0.2463768115942029,0.8083031674208145,0.7536408371040723,0.8613190045248869,7.0,5.0,11.0,0.8,0.7230769230769231,0.4295401764979099
FBI Apathy,FrSBe-Apathy,345,0.2608695652173913,0.8154466230936819,0.7680991285403052,0.8613061002178649,8.0,6.0,9.0,0.7666666666666667,0.7843137254901961,0.4909726266744322
FBI Disinhibition,Consensus ≥2/3,345,0.2463768115942029,0.8510407239819004,0.8026674208144796,0.8957929864253393,4.0,2.0,5.0,0.6470588235294118,0.8807692307692307,0.5257464788732393
FBI Disinhibition,FrSBe-Disinhibition,345,0.10434782608695652,0.8092412801150665,0.7429386911183028,0.8703310409924487,2.0,2.0,8.0,0.9444444444444444,0.5760517799352751,0.20151396502218755
FBI Disinhibition,ECAS-Disinhibition,345,0.06086956521739131,0.7763080540858318,0.6809872868900647,0.867656893004115,4.0,2.0,7.0,0.6666666666666666,0.7777777777777778,0.18160526078731642
