reference,n,sens_at_9,kappa_at_9,kappa_at_25,delta_kappa
ECAS-behavioural,345,0.75,0.3309215678961698,0.16653245289096474,0.16438911500520503
FrSBe total,345,0.8571428571428571,0.3665890636533984,0.21389195148842333,0.15269711216497506
BBI,345,0.7361111111111112,0.5581057222972272,0.1561491047842677,0.4019566175129595
Consensus ≥2/3,345,0.8705882352941177,0.4969081679741578,0.26290801186943613,0.2340001561047217
LCA-3,345,0.7346938775510204,0.5654536984315959,0.1506058857472592,0.4148478126843367
LCA-7,345,0.8037383177570093,0.521497919556172,0.14157750684249815,0.3799204127136738
