cutoff,tp,fp,tn,fn,sens,spec,ppv,npv,kappa
8,76,81,179,9,0.8941176470588236,0.6884615384615385,0.4840764331210191,0.9521276595744681,0.45334507042253513
9,74,68,192,11,0.8705882352941177,0.7384615384615385,0.5211267605633803,0.9458128078817734,0.4969081679741578
10,68,59,201,17,0.8,0.7730769230769231,0.5354330708661418,0.9220183486238532,0.4913676042677013
12,62,44,216,23,0.7294117647058823,0.8307692307692308,0.5849056603773585,0.9037656903765691,0.5171801566579635
15,56,25,235,29,0.6588235294117647,0.9038461538461539,0.691358024691358,0.8901515151515151,0.5717241379310345
25,19,6,254,66,0.2235294117647059,0.9769230769230769,0.76,0.79375,0.26290801186943613
