subgroup,n,gold_prev,auc,auc_lo,auc_hi,youden_cut,cut_lo,cut_hi,sens_at_9,spec_at_9,kappa_at_9,sens_at_25,spec_at_25
Mild (ALSFRS-R >35),187,0.24598930481283424,0.8639377119950663,0.7953264724020969,0.9223134443416587,9.0,7.0,15.0,0.8043478260869565,0.8156028368794326,0.5513128127785014,0.21739130434782608,0.9787234042553191
Moderate-severe (ALSFRS-R <=35),60,0.38333333333333336,0.8560517038777908,0.7567420681551116,0.9418331374853114,12.0,8.0,19.0,0.9130434782608695,0.6486486486486487,0.5150862068965516,0.30434782608695654,1.0
