subgroup,n,gold_prevalence,auc,youden_cutoff,cutoff_lo,cutoff_hi,sens_at_9,spec_at_9,kappa_at_9,sens_at_25,spec_at_25,kappa_at_25,fbi_mean,fbi_sd,fbi_median
Bulbar,76,0.3157894736842105,0.8729967948717949,15.0,7.0,15.0,0.875,0.7307692307692307,0.5392296718972895,0.2916666666666667,0.9807692307692307,0.33203125,10.802631578947368,11.479860320685793,7.0
Spinal,197,0.25380710659898476,0.8610884353741496,9.0,8.0,12.049999999999727,0.84,0.782312925170068,0.5372327930467465,0.2,0.9795918367346939,0.23760237602376033,8.49238578680203,8.40773410309629,6.0
